Afghan;Afghanistan;
Albanian;Albania;
Algerian;Algeria;
American;USA;
Andorran;Andorra;
Angolan;Angola;
Argentinean;Argentina;
Armenian;Armenia;
Australian;Australia;
Austrian;Austria;
Azerbaijani;Azerbaijan;
Bahamian;Bahamas;
Bahraini;Bahrain;
Bangladeshi;Bangladesh;
Barbadian;Barbados;
Belarusian;Belarus;
Belgian;Belgium;
Belizean;Belize;
Beninese;Benin;
Bhutanese;Bhutan;
Bolivian;Bolivia;
Brazilian;Brazil;
British;United Kingdom;
Bruneian;Brunei;
Bulgarian;Bulgaria;
Burkinabe;Burkina Faso;
Burundian;Burundi;
Cambodian;Cambodia;
Cameroonian;Cameroon;
Canadian;Canada;
Central African;Central African Republic;
Chadian;Chad;
Chilean;Chile;
Chinese;China;
Colombian;Colombia;
Comoran;Comoros;
Congolese;DR Congo;
Costa Rican;Costa Rica;
Croatian;Croatia;
Cuban;Cuba;
Cypriot;Cyprus;
Czech;Czech Republic;
Danish;Denmark;
Djibouti;Djibouti;
Dominican;Dominica;
Dutch;Curaçao;
East Timorese;Timor-Leste;
Ecuadorean;Ecuador;
Egyptian;Egypt;
Equatorial Guinean;Equatorial Guinea;
Eritrean;Eritrea;
Estonian;Estonia;
Ethiopian;Ethiopia;
Fijian;Fiji;
Filipino;Philippines;
Finnish;Finland;
French;France;
Gabonese;Gabon;
Gambian;Gambia;
Georgian;Georgia;
German;Germany;
Ghanaian;Ghana;
Greek;Greece;
Grenadian;Grenada;
Guatemalan;Guatemala;
Guinea-Bissauan;Guinea-Bissau;
Guinean;Guinea;
Guyanese;Guyana;
Haitian;Haiti;
Honduran;Honduras;
Hungarian;Hungary;
I-Kiribati;Kiribati;
Icelander;Iceland;
Indian;India;
Indonesian;Indonesia;
Iranian;Iran;
Iraqi;Iraq;
Irish;Ireland;
Israeli;Israel;
Italian;Italy;
Ivorian;Ivory Coast;
Jamaican;Jamaica;
Japanese;Japan;
Jordanian;Jordan;
Kazakhstani;Kazakhstan;
Kenyan;Kenya;
Kuwaiti;Kuwait;
Laotian;Laos;
Latvian;Latvia;
Lebanese;Lebanon;
Liberian;Liberia;
Libyan;Libya;
Liechtensteiner;Liechtenstein;
Lithuanian;Lithuania;
Luxembourger;Luxembourg;
Macedonian;Macedonia;
Malagasy;Madagascar;
Malawian;Malawi;
Malaysian;Malaysia;
Maldivan;Maldives;
Malian;Mali;
Maltese;Malta;
Marshallese;Marshall Islands;
Mauritanian;Mauritania;
Mauritian;Mauritius;
Mexican;Mexico;
Micronesian;Micronesia;
Moldovan;Moldova;
Mongolian;Mongolia;
Moroccan;Morocco;
Mosotho;Lesotho;
Motswana;Botswana;
Mozambican;Mozambique;
Namibian;Namibia;
Nauruan;Nauru;
Nepalese;Nepal;
New Zealander;New Zealand;
Nicaraguan;Nicaragua;
Nigerian;Nigeria;
Nigerien;Niger;
North Korean;North Korea;
Norwegian;Norway;
Omani;Oman;
Pakistani;Pakistan;
Palauan;Palau;
Panamanian;Panama;
Papua New Guinean;Papua New Guinea;
Paraguayan;Paraguay;
Peruvian;Peru;
Polish;Poland;
Portuguese;Portugal;
Qatari;Qatar;
Romanian;Romania;
Russian;Russia;
Rwandan;Rwanda;
Saint Lucian;Saint Lucia;
Salvadoran;El Salvador;
Samoan;Samoa;
Sao Tomean;São Tomé and Príncipe;
Senegalese;Senegal;
Serbian;Serbia;
Seychellois;Seychelles;
Sierra Leonean;Sierra Leone;
Singaporean;Singapore;
Solomon Islander;Solomon Islands;
Somali;Somalia;
South African;South Africa;
South Korean;South Korea;
Spanish;Spain;
Sri Lankan;Sri Lanka;
Sudanese;Sudan;
Surinamer;Suriname;
Swazi;Swaziland;
Swedish;Sweden;
Swiss;Switzerland;
Syrian;Syria;
Taiwanese;Taiwan;
Tanzanian;Tanzania;
Thai;Thailand;
Togolese;Togo;
Tongan;Tonga;
Tunisian;Tunisia;
Turkish;Turkey;
Tuvaluan;Tuvalu;
Ugandan;Uganda;
Ukrainian;Ukraine;
Uruguayan;Uruguay;
Uzbekistani;Uzbekistan;
Venezuelan;Venezuela;
Vietnamese;Vietnam;
Zambian;Zambia;
Zimbabwean;Zimbabwe;
Abkhazia;Abkhazia;
Antiguans;Antigua and Barbuda;
Barbudans;Antigua and Barbuda;
Batswana;Botswana;
Bosnian;Bosnia and Herzegovina;
Burmese;Burma;
Cape Verdean;Cape Verde;
Emirian;United Arab Emirates;
Herzegovinian;Bosnia and Herzegovina;
Kittian and Nevisian;Saint Kitts and Nevis;
Kosovo;Kosovo;
Kurdistan;Kurdistan;
Kyrgyz;Kyrgyzstan;
Monacan;Monaco;
Nagorno-Karabkh;Nagorno-Karabkh;
Northern Irish;Northern Ireland;
Palestine;Palestine;
Pridenestrovia;Pridenestrovia;
Saharawi;Western Sahara;
San Marinese;San Marino;
Saudi;Saudi Arabia;
Scottish;Scotland;
Slovakian;Slovakia;
Slovenian;Slovenia;
Somaliand;Somalia;
South Ossetia;South Ossetia;
Tajik;Tajikistan;
Tibetan;Tibet;
Trinidadian or Tobagonian;Trinidad and Tobago;
Welsh;Wales;
Western Sahara;Western Sahara;
Yemenite;Yemen;
